global_sales_in_millions,na_sales_in_millions,pal_sales_in_millions,japan_sales_in_millions,other_sales_in_millions,total_shipped_in_millions,game_id
0.0,0.0,0.0,0.0,0.0,51.0,0
0.0,0.0,0.0,0.0,0.0,45.26,1
0.0,0.0,0.0,0.0,0.0,22.0,2
20.32,6.37,9.85,0.99,3.12,0.0,3
0.0,0.0,0.0,0.0,0.0,20.0,4
19.39,6.06,9.71,0.6,3.02,0.0,5
0.0,0.0,0.0,0.0,0.0,17.3,6
0.0,0.0,0.0,0.0,0.0,16.25,7
16.15,8.41,5.49,0.47,1.78,0.0,8
15.86,9.06,5.33,0.06,1.42,0.0,9
13.1,6.99,4.51,0.3,1.3,0.0,10
0.0,0.0,0.0,0.0,0.0,12.6,11
11.09,6.8,3.11,0.14,1.04,0.0,12
0.0,0.0,0.0,0.0,0.0,11.0,13
10.57,4.79,3.73,0.44,1.62,0.0,14
0.0,0.0,0.0,0.0,0.0,9.3,15
8.72,4.7,3.25,0.01,0.76,0.0,16
0.0,0.0,0.0,0.0,0.0,8.0,17
7.72,2.9,2.83,0.24,1.74,0.0,18
0.0,0.0,0.0,0.0,0.0,7.6,19
0.0,0.0,0.0,0.0,0.0,7.17,20
0.0,0.0,0.0,0.0,0.0,7.0,21
0.0,0.0,0.0,0.0,0.0,7.0,22
6.74,3.28,2.22,0.21,1.02,0.0,23
6.57,2.82,2.58,0.17,1.0,0.0,24
6.5,3.77,2.03,0.09,0.6,0.0,25
6.27,3.11,2.8,0.02,0.33,0.0,26
0.0,0.0,0.0,0.0,0.0,6.0,27
0.0,0.0,0.0,0.0,0.0,6.0,28
5.7,2.55,2.11,0.1,0.94,0.0,29
5.66,3.57,1.57,0.0,0.52,0.0,30
5.57,2.54,1.95,0.21,0.86,0.0,31
5.55,3.28,1.64,0.07,0.56,0.0,32
5.54,2.72,1.89,0.11,0.82,0.0,33
0.0,0.0,0.0,0.0,0.0,5.5,34
5.3,3.14,1.55,0.08,0.52,0.0,35
5.1,1.96,1.42,1.08,0.64,0.0,36
5.08,1.7,2.03,0.16,1.19,0.0,37
4.97,2.32,1.73,0.12,0.8,0.0,38
0.0,0.0,0.0,0.0,0.0,4.96,39
4.83,1.91,2.01,0.09,0.82,0.0,40
4.77,2.83,1.49,0.0,0.45,0.0,41
4.75,2.99,1.28,0.04,0.44,0.0,42
